"seqname","accession","tax_id","tax_name","isType","ok","i","outlier","selected","label"
"S000001207","AJ243791","103621","Actinomyces urogenitalis",TRUE,TRUE,1,FALSE,TRUE,"Actinomyces urogenitalis (103621)"
"S000127864","AJ243893","103621","Actinomyces urogenitalis",FALSE,TRUE,2,FALSE,TRUE,"Actinomyces urogenitalis (103621)"
"S000130223","AJ243894","103621","Actinomyces urogenitalis",FALSE,TRUE,3,FALSE,TRUE,"Actinomyces urogenitalis (103621)"
"4VAG-103","","109790","Lactobacillus jensenii",FALSE,TRUE,5,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389885","AF243143","109790","Lactobacillus jensenii",FALSE,TRUE,8,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389895","AF243153","109790","Lactobacillus jensenii",FALSE,TRUE,9,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389897","AF243155","109790","Lactobacillus jensenii",FALSE,TRUE,10,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389901","AF243159","109790","Lactobacillus jensenii",FALSE,TRUE,11,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389903","AF243161","109790","Lactobacillus jensenii",FALSE,TRUE,12,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389904","AF243162","109790","Lactobacillus jensenii",FALSE,TRUE,13,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000389918","AF243176","109790","Lactobacillus jensenii",TRUE,TRUE,14,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S001096707","EU559597","109790","Lactobacillus jensenii",FALSE,TRUE,15,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S001096711","EU559601","109790","Lactobacillus jensenii",FALSE,TRUE,16,FALSE,TRUE,"Lactobacillus jensenii (109790)"
"S000380997","S67831","1249","Weissella paramesenteroides",FALSE,TRUE,17,FALSE,TRUE,"Weissella paramesenteroides (1249)"
"S001329007","FJ654451","1249","Weissella paramesenteroides",FALSE,TRUE,23,FALSE,TRUE,"Weissella paramesenteroides (1249)"
"S001329008","FJ654452","1249","Weissella paramesenteroides",FALSE,TRUE,24,FALSE,TRUE,"Weissella paramesenteroides (1249)"
"S001329014","FJ654458","1249","Weissella paramesenteroides",FALSE,TRUE,26,FALSE,TRUE,"Weissella paramesenteroides (1249)"
"S001329015","FJ654459","1249","Weissella paramesenteroides",FALSE,TRUE,27,FALSE,TRUE,"Weissella paramesenteroides (1249)"
"S000382416","AB018214","1254","Pediococcus acidilactici",FALSE,TRUE,33,FALSE,TRUE,"Pediococcus acidilactici (1254)"
"S000430950","AF515229","1254","Pediococcus acidilactici",FALSE,TRUE,34,FALSE,TRUE,"Pediococcus acidilactici (1254)"
"S000927955","EU147315","1254","Pediococcus acidilactici",FALSE,TRUE,37,FALSE,TRUE,"Pediococcus acidilactici (1254)"
"S001044479","EU180608","1254","Pediococcus acidilactici",FALSE,TRUE,38,FALSE,TRUE,"Pediococcus acidilactici (1254)"
"S001292769","FJ360445","1254","Pediococcus acidilactici",FALSE,TRUE,39,FALSE,TRUE,"Pediococcus acidilactici (1254)"
"S000995195","D14152","1258","Peptoniphilus asaccharolyticus",FALSE,TRUE,48,FALSE,TRUE,"Peptoniphilus asaccharolyticus (1258)"
"S000432294","AF542228","1258","Peptoniphilus asaccharolyticus",FALSE,TRUE,49,FALSE,TRUE,"Peptoniphilus asaccharolyticus (1258)"
"S000768890","DQ986463","1258","Peptoniphilus asaccharolyticus",FALSE,TRUE,50,FALSE,TRUE,"Peptoniphilus asaccharolyticus (1258)"
"S000995188","D14145","1258","Peptoniphilus asaccharolyticus",FALSE,TRUE,51,FALSE,TRUE,"Peptoniphilus asaccharolyticus (1258)"
"S000319464","AB109770","1260","Finegoldia magna",FALSE,TRUE,53,FALSE,TRUE,"Finegoldia magna (1260)"
"S000319466","AB109771","1260","Finegoldia magna",FALSE,TRUE,54,FALSE,TRUE,"Finegoldia magna (1260)"
"S000334747","AB109772","1260","Finegoldia magna",FALSE,TRUE,55,FALSE,TRUE,"Finegoldia magna (1260)"
"S000399515","AY169413","1260","Finegoldia magna",FALSE,TRUE,56,FALSE,TRUE,"Finegoldia magna (1260)"
"S000432293","AF542227","1260","Finegoldia magna",FALSE,TRUE,57,FALSE,TRUE,"Finegoldia magna (1260)"
"S000140702","AY326462","1261","Peptostreptococcus anaerobius",FALSE,TRUE,58,FALSE,TRUE,"Peptostreptococcus anaerobius (1261)"
"S000414263","L04168","1261","Peptostreptococcus anaerobius",FALSE,TRUE,59,FALSE,TRUE,"Peptostreptococcus anaerobius (1261)"
"S000010068","X70648","1280","Staphylococcus aureus",FALSE,TRUE,62,FALSE,TRUE,"Staphylococcus aureus (1280)"
"S000750660","DQ997832","1280","Staphylococcus aureus",FALSE,TRUE,72,FALSE,TRUE,"Staphylococcus aureus (1280)"
"S001095993","EU515208","1280","Staphylococcus aureus",FALSE,TRUE,79,FALSE,TRUE,"Staphylococcus aureus (1280)"
"S001241993","FJ434467","1280","Staphylococcus aureus",FALSE,TRUE,85,FALSE,TRUE,"Staphylococcus aureus (1280)"
"S001589119","GQ389795","1280","Staphylococcus aureus",FALSE,TRUE,91,FALSE,TRUE,"Staphylococcus aureus (1280)"
"2VAG-69","","1282","Staphylococcus epidermidis",FALSE,TRUE,93,FALSE,TRUE,"Staphylococcus epidermidis (1282)"
"S000942605","EU128487","1282","Staphylococcus epidermidis",FALSE,TRUE,133,FALSE,TRUE,"Staphylococcus epidermidis (1282)"
"S000995921","EU379268","1282","Staphylococcus epidermidis",FALSE,TRUE,136,FALSE,TRUE,"Staphylococcus epidermidis (1282)"
"S001098782","EU652069","1282","Staphylococcus epidermidis",FALSE,TRUE,145,FALSE,TRUE,"Staphylococcus epidermidis (1282)"
"S001154131","EU834242","1282","Staphylococcus epidermidis",FALSE,TRUE,149,FALSE,TRUE,"Staphylococcus epidermidis (1282)"
"S000413968","D83367","1283","Staphylococcus haemolyticus",TRUE,TRUE,188,FALSE,TRUE,"Staphylococcus haemolyticus (1283)"
"S000995957","EU379304","1283","Staphylococcus haemolyticus",FALSE,TRUE,194,FALSE,TRUE,"Staphylococcus haemolyticus (1283)"
"S001096634","EU554432","1283","Staphylococcus haemolyticus",FALSE,TRUE,195,FALSE,TRUE,"Staphylococcus haemolyticus (1283)"
"S001418808","FN393803","1283","Staphylococcus haemolyticus",FALSE,TRUE,204,FALSE,TRUE,"Staphylococcus haemolyticus (1283)"
"S001575023","FJ999931","1283","Staphylococcus haemolyticus",FALSE,TRUE,206,FALSE,TRUE,"Staphylococcus haemolyticus (1283)"
"S000414715","L37601","1290","Staphylococcus hominis",TRUE,TRUE,209,FALSE,TRUE,"Staphylococcus hominis (1290)"
"S000438936","AY167805","1290","Staphylococcus hominis",FALSE,TRUE,211,FALSE,TRUE,"Staphylococcus hominis (1290)"
"S000842583","DQ870747","1290","Staphylococcus hominis",FALSE,TRUE,214,FALSE,TRUE,"Staphylococcus hominis (1290)"
"S000926543","EU071618","1290","Staphylococcus hominis",FALSE,TRUE,216,FALSE,TRUE,"Staphylococcus hominis (1290)"
"S000995949","EU379296","1290","Staphylococcus hominis",FALSE,TRUE,222,FALSE,TRUE,"Staphylococcus hominis (1290)"
"S000414717","L37603","1292","Staphylococcus warneri",TRUE,TRUE,233,FALSE,TRUE,"Staphylococcus warneri (1292)"
"S001588028","EU373515","1292","Staphylococcus warneri",FALSE,TRUE,234,FALSE,TRUE,"Staphylococcus warneri (1292)"
"S000386904","AF003932","1303","Streptococcus oralis",FALSE,TRUE,235,FALSE,TRUE,"Streptococcus oralis (1303)"
"S000405655","AY281080","1303","Streptococcus oralis",FALSE,TRUE,237,FALSE,TRUE,"Streptococcus oralis (1303)"
"S000901720","AB355617","1303","Streptococcus oralis",FALSE,TRUE,243,FALSE,TRUE,"Streptococcus oralis (1303)"
"S001744699","GU045381","1303","Streptococcus oralis",FALSE,TRUE,250,FALSE,TRUE,"Streptococcus oralis (1303)"
"S001744700","GU045382","1303","Streptococcus oralis",FALSE,TRUE,251,FALSE,TRUE,"Streptococcus oralis (1303)"
"S000394499","AF459433","1304","Streptococcus salivarius",FALSE,TRUE,255,FALSE,TRUE,"Streptococcus salivarius (1304)"
"S000617861","AM157419","1304","Streptococcus salivarius",FALSE,TRUE,257,FALSE,TRUE,"Streptococcus salivarius (1304)"
"S000617893","AM157451","1304","Streptococcus salivarius",FALSE,TRUE,258,FALSE,TRUE,"Streptococcus salivarius (1304)"
"S000843228","EF463056","1304","Streptococcus salivarius",FALSE,TRUE,259,FALSE,TRUE,"Streptococcus salivarius (1304)"
"S000843231","EF463059","1304","Streptococcus salivarius",FALSE,TRUE,260,FALSE,TRUE,"Streptococcus salivarius (1304)"
"S000381692","AB002524","1305","Streptococcus sanguinis",FALSE,TRUE,268,FALSE,TRUE,"Streptococcus sanguinis (1305)"
"S000386900","AF003928","1305","Streptococcus sanguinis",TRUE,TRUE,269,FALSE,TRUE,"Streptococcus sanguinis (1305)"
"S000432314","AF543281","1305","Streptococcus sanguinis",FALSE,TRUE,272,FALSE,TRUE,"Streptococcus sanguinis (1305)"
"S000432323","AF543290","1305","Streptococcus sanguinis",FALSE,TRUE,273,FALSE,TRUE,"Streptococcus sanguinis (1305)"
"S001613824","GQ995676","1305","Streptococcus sanguinis",FALSE,TRUE,277,FALSE,TRUE,"Streptococcus sanguinis (1305)"
"S000379916","AY691526","1309","Streptococcus mutans",FALSE,TRUE,283,FALSE,TRUE,"Streptococcus mutans (1309)"
"S000379919","AY691529","1309","Streptococcus mutans",FALSE,TRUE,286,FALSE,TRUE,"Streptococcus mutans (1309)"
"S000711877","DQ303189","1309","Streptococcus mutans",FALSE,TRUE,296,FALSE,TRUE,"Streptococcus mutans (1309)"
"S000712811","DQ677755","1309","Streptococcus mutans",FALSE,TRUE,334,FALSE,TRUE,"Streptococcus mutans (1309)"
"S000712843","DQ677787","1309","Streptococcus mutans",FALSE,TRUE,358,FALSE,TRUE,"Streptococcus mutans (1309)"
"S000011437","AB023574","1311","Streptococcus agalactiae",FALSE,TRUE,361,FALSE,TRUE,"Streptococcus agalactiae (1311)"
"S000381647","AB002479","1311","Streptococcus agalactiae",TRUE,TRUE,362,TRUE,TRUE,"Streptococcus agalactiae (1311)"
"S000496330","AB175037","1311","Streptococcus agalactiae",FALSE,TRUE,366,FALSE,TRUE,"Streptococcus agalactiae (1311)"
"S000926647","EU075069","1311","Streptococcus agalactiae",FALSE,TRUE,372,FALSE,TRUE,"Streptococcus agalactiae (1311)"
"S001098382","EU622516","1311","Streptococcus agalactiae",FALSE,TRUE,373,FALSE,TRUE,"Streptococcus agalactiae (1311)"
"S000006177","X78719","131110","Actinomyces radingae",TRUE,TRUE,374,FALSE,TRUE,"Actinomyces radingae (131110)"
"S000386905","AF003933","1318","Streptococcus parasanguinis",TRUE,TRUE,376,FALSE,TRUE,"Streptococcus parasanguinis (1318)"
"S000427359","AB006127","1318","Streptococcus parasanguinis",FALSE,TRUE,380,FALSE,TRUE,"Streptococcus parasanguinis (1318)"
"S000432332","AF543299","1318","Streptococcus parasanguinis",FALSE,TRUE,381,FALSE,TRUE,"Streptococcus parasanguinis (1318)"
