"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","phylum","class","order","family","genus","species"
"1","1","root","root","1","","","","","","","",""
"131567","1","cellular_root","cellular organisms","1","131567","","","","","","",""
"2","131567","domain","Bacteria","1","131567","2","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","1239","","","","",""
"91061","1239","class","Bacilli","1","131567","2","1239","91061","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","1239","91061","186826","","",""
"81852","186826","family","Enterococcaceae","1","131567","2","1239","91061","186826","81852","",""
"33958","186826","family","Lactobacillaceae","1","131567","2","1239","91061","186826","33958","",""
"1350","81852","genus","Enterococcus","1","131567","2","1239","91061","186826","81852","1350",""
"1578","33958","genus","Lactobacillus","1","131567","2","1239","91061","186826","33958","1578",""
"33945","1350","species","Enterococcus avium","1","131567","2","1239","91061","186826","81852","1350","33945"
"47770","1578","species","Lactobacillus crispatus","1","131567","2","1239","91061","186826","33958","1578","47770"
