"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","superphylum","phylum","subphylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","subgenus","species_group","species","below_species","below_below_species","subspecies","below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","",""
"131567","1","cellular_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","",""
"2","131567","domain","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","68336","","","","","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","201174","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","68336","976","","","","","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","1239","","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","32066","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","1224","","","","","","","","","","","","","","","","",""
"203691","2","phylum","Spirochaetes","1","131567","2","","203691","","","","","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","544448","","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","1224","68525","","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria (class)","1","131567","2","","201174","","1760","","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","1224","","28211","","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","1239","","91061","","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","68336","976","","200643","","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","1224","","28216","","","","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","1239","","186801","","","","","","","","","","","","","","",""
"29547","68525","class","Epsilonproteobacteria","1","131567","2","","1224","68525","29547","","","","","","","","","","","","","","",""
"526524","1239","class","Erysipelotrichi","1","131567","2","","1239","","526524","","","","","","","","","","","","","","",""
"117743","976","class","Flavobacteriia","1","131567","2","68336","976","","117743","","","","","","","","","","","","","","",""
"203490","32066","class","Fusobacteria (class)","1","131567","2","","32066","","203490","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","1224","","1236","","","","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","544448","","31969","","","","","","","","","","","","","","",""
"909932","1239","class","Negativicutes","1","131567","2","","1239","","909932","","","","","","","","","","","","","","",""
"203692","203691","class","Spirochaetia","1","131567","2","","203691","","203692","","","","","","","","","","","","","","",""
"85003","1760","subclass","Actinobacteridae","1","131567","2","","201174","","1760","85003","","","","","","","","","","","","","",""
"84998","1760","subclass","Coriobacteridae","1","131567","2","","201174","","1760","84998","","","","","","","","","","","","","",""
"225057","1236","order","Acidithiobacillales","1","131567","2","","1224","","1236","","225057","","","","","","","","","","","","",""
"2037","85003","order","Actinomycetales","1","131567","2","","201174","","1760","85003","2037","","","","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","","1239","","91061","","1385","","","","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","68336","976","","200643","","171549","","","","","","","","","","","","",""
"213849","29547","order","Campylobacterales","1","131567","2","","1224","68525","29547","","213849","","","","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","","1239","","186801","","186802","","","","","","","","","","","","",""
