"tax_id","parent_id","rank","tax_name","root","cellular_root","domain","below_domain","below_below_domain","superphylum","phylum","class","subclass","order","below_order","below_below_order","suborder","family","below_family","genus","species_group","species_subgroup","species","below_species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","",""
"131567","1","cellular_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","",""
"2","131567","domain","Bacteria","1","131567","2","","","","","","","","","","","","","","","","",""
"2323","2","below_domain","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","",""
"95818","2323","below_below_domain","candidate division TM7","1","131567","2","2323","95818","","","","","","","","","","","","","","",""
"68336","2","superphylum","Bacteroidetes/Chlorobi group","1","131567","2","","","68336","","","","","","","","","","","","","",""
"201174","2","phylum","Actinobacteria","1","131567","2","","","","201174","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","","","68336","976","","","","","","","","","","","","",""
"1239","2","phylum","Firmicutes","1","131567","2","","","","1239","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","","32066","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","1224","","","","","","","","","","","","",""
"544448","2","phylum","Tenericutes","1","131567","2","","","","544448","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria (class)","1","131567","2","","","","201174","1760","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","","1224","28211","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","","","","1239","91061","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","","","68336","976","200643","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","","1224","28216","","","","","","","","","","","",""
"186801","1239","class","Clostridia","1","131567","2","","","","1239","186801","","","","","","","","","","","",""
"203490","32066","class","Fusobacteria (class)","1","131567","2","","","","32066","203490","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","2","","","","1224","1236","","","","","","","","","","","",""
"31969","544448","class","Mollicutes","1","131567","2","","","","544448","31969","","","","","","","","","","","",""
"85003","1760","subclass","Actinobacteridae","1","131567","2","","","","201174","1760","85003","","","","","","","","","","",""
"84998","1760","subclass","Coriobacteridae","1","131567","2","","","","201174","1760","84998","","","","","","","","","","",""
"2037","85003","order","Actinomycetales","1","131567","2","","","","201174","1760","85003","2037","","","","","","","","","",""
"1385","91061","order","Bacillales","1","131567","2","","","","1239","91061","","1385","","","","","","","","","",""
"171549","200643","order","Bacteroidales","1","131567","2","","","68336","976","200643","","171549","","","","","","","","","",""
"85004","85003","order","Bifidobacteriales","1","131567","2","","","","201174","1760","85003","85004","","","","","","","","","",""
"80840","28216","order","Burkholderiales","1","131567","2","","","","1224","28216","","80840","","","","","","","","","",""
"186802","186801","order","Clostridiales","1","131567","2","","","","1239","186801","","186802","","","","","","","","","",""
"84999","84998","order","Coriobacteriales","1","131567","2","","","","201174","1760","84998","84999","","","","","","","","","",""
"91347","1236","order","Enterobacteriales","1","131567","2","","","","1224","1236","","91347","","","","","","","","","",""
"203491","203490","order","Fusobacteriales","1","131567","2","","","","32066","203490","","203491","","","","","","","","","",""
"186826","91061","order","Lactobacillales","1","131567","2","","","","1239","91061","","186826","","","","","","","","","",""
"2085","31969","order","Mycoplasmatales","1","131567","2","","","","544448","31969","","2085","","","","","","","","","",""
"72274","1236","order","Pseudomonadales","1","131567","2","","","","1224","1236","","72274","","","","","","","","","",""
